Name,Value
tmRotaCoreAdvDelayTime1,0
tmRotaCoreAdvPosi1,0
tmRotaCoreAdvPosi2,0
tmRotaCoreAdvPress1,-1
tmRotaCoreAdvPress2,-1
tmRotaCoreAdvSpeed1,50
tmRotaCoreAdvSpeed2,50
tmRotaCoreRetDelayTime1,0
tmRotaCoreRetPosi1,0
tmRotaCoreRetPosi2,0
tmRotaCoreRetPress1,-1
tmRotaCoreRetPress2,-1
tmRotaCoreRetSpeed1,50
tmRotaCoreRetSpeed2,50
tmRotaLocatorAdvDelayTime,0
tmRotaLocatorAdvPress,0
tmRotaLocatorAdvSpeed,0
tmRotaLocatorRetPress,0
tmRotaLocatorRetSpeed,0
tmRotaTurnDelayTime,0
tmClpMoveLPress,0
tmClpMoveLSPress,30
tmClpMoveLSSpeed,3
tmClpMoveLSpeed,0.1
tmClpMoveOption,0
tmClpMoveRPress,0
tmClpMoveRSPress,0
tmClpMoveRSSpeed,0
tmClpMoveRSpeed,0
tmEjectUAdvCount,0
tmEjectUAdvDelayTime,0
tmEjectUAdvPosi,0
tmEjectUAdvPress,0
tmEjectUAdvSpeed,-1
tmEjectUAdvTime,0
tmEjectURetDelayTime,0.01
tmEjectURetPosi,0
tmEjectURetPress,-1
tmEjectURetSpeed,0.3
tmEjectURetTime,0
tmLocatorPress,30
tmLocatorSpeed,0
tmCoreAInPosi,250
tmCoreAInPress,50
tmCoreAInSpeed,50
tmCoreAInTime,3
tmCoreAOutPosi,0
tmCoreAOutPress,45
tmCoreAOutSpeed,45
tmCoreAOutTime,3
tmCoreBInPosi,250
tmCoreBInPress,50
tmCoreBInSpeed,50
tmCoreBInTime,3
tmCoreBOutPosi,0
tmCoreBOutPress,45
tmCoreBOutSpeed,45
tmCoreBOutTime,3
tmCoreCInPosi,0
tmCoreCInPress,50
tmCoreCInSpeed,50
tmCoreCInTime,3
tmCoreCOutPosi,0
tmCoreCOutPress,45
tmCoreCOutSpeed,45
tmCoreCOutTime,3
tmNozzleAdvActTime,0
tmNozzleAdvActTimeB,0
tmNozzleAdvPosi1,0
tmNozzleAdvPosi2,0
tmNozzleAdvPosiB1,0
tmNozzleAdvPosiB2,0
tmNozzleAdvPress1,10
tmNozzleAdvPress2,10
tmNozzleAdvPressB1,0
tmNozzleAdvPressB2,0
tmNozzleAdvSpeed1,5
tmNozzleAdvSpeed2,5
tmNozzleAdvSpeedB1,0
tmNozzleAdvSpeedB2,0
tmNozzleRetActTime,1
tmNozzleRetActTimeB,0
tmNozzleRetPosi1,0
tmNozzleRetPosiB1,0
tmNozzleRetPress1,15
tmNozzleRetPressB1,0
tmNozzleRetSpeed1,10
tmNozzleRetSpeedB1,0
tmEjectAdvDelayTime,0
tmEjectAdvDelayTimeB,0
tmEjectAdvPosi1,5
tmEjectAdvPosi2,21.3
tmEjectAdvPosiB1,0
tmEjectAdvPosiB2,0
tmEjectAdvPress1,80
tmEjectAdvPress2,80
tmEjectAdvPressB1,0
tmEjectAdvPressB2,0
tmEjectAdvSpeed1,85
tmEjectAdvSpeed2,85
tmEjectAdvSpeedB1,0
tmEjectAdvSpeedB2,0
tmEjectRAdvPosi1,0
tmEjectRAdvPosiEnd,0
tmEjectRAdvPress1,1
tmEjectRAdvPress2,-1
tmEjectRAdvSpeed1,0
tmEjectRAdvSpeed2,0
tmEjectRRetPosi1,0
tmEjectRRetPosiEnd,0
tmEjectRRetPress1,0
tmEjectRRetPress2,-1
tmEjectRRetSpeed1,0
tmEjectRRetSpeed2,-1
tmEjectRetDelayTime,0
tmEjectRetDelayTimeB,0
tmEjectRetPosi1,40
tmEjectRetPosi2,0
tmEjectRetPosiB1,0
tmEjectRetPosiB2,0
tmEjectRetPress1,35
tmEjectRetPress2,35
tmEjectRetPressB1,0
tmEjectRetPressB2,0
tmEjectRetSpeed1,35
tmEjectRetSpeed2,30
tmEjectRetSpeedB1,0
tmEjectRetSpeedB2,0
tmChargeBackPress1,10
tmChargeBackPress2,10
tmChargeBackPress3,10
tmChargeBackPress4,-1
tmChargeBackPress5,-1
tmChargeBackPressB1,0
tmChargeBackPressB2,45746
tmChargeBackPressB3,0
tmChargeBackPressB4,0
tmChargeBackPressB5,0
tmChargePosi1,10
tmChargePosi2,25
tmChargePosi3,40
tmChargePosi4,-1
tmChargePosi5,-1
tmChargePosiB1,0
tmChargePosiB2,0
tmChargePosiB3,0
tmChargePosiB4,0
tmChargePosiB5,0
tmChargePress1,65
tmChargePress2,65
tmChargePress3,80
tmChargePress4,-1
tmChargePress5,-1
tmChargePressB1,0
tmChargePressB2,0
tmChargePressB3,0
tmChargePressB4,0
tmChargePressB5,0
tmChargeSpeed1,55
