Name,Value
tmCycleTimeMax,42.08
tmInjTimeMax,26.53
tmTurnTimeMax,22.16
tmChargeTimeMax,20.12
tmClpClsTimeMax,22.55
tmClpOpnPosiMax,366.4
tmClpOpnTimeMax,23.18
tmTurnPressMax,20
tmInjStartPosiMax,147.1
tmTurnPosiMax,20
tmInjEndPosiMax,20
tmInjBackTimeMax,23.12
tmEjectTimeMax,24.75
tmInjMaxPressMax,0
tmChargeMaxPressMax,0
tmCycleTimeMin,0
tmInjTimeMaxB,0
tmTurnTimeMaxB,0
tmChargeTimeMaxB,0
tmClpOpnTimeMaxB,0
tmTurnPressMaxB,0
tmInjStartPosiMaxB,0
tmTurnPosiMaxB,0
tmInjEndPosiMaxB,0
tmInjBackTimeMaxB,0
tmEjectTimeMaxB,0
tmInjMaxPressMaxB,0
tmChargeMaxPressMaxB,0
tmInjTimeMinB,0
tmTurnTimeMinB,0
tmChargeTimeMinB,0
tmTurnPressMinB,0
tmInjStartPosiMinB,0
tmTurnPosiMinB,0
tmInjEndPosiMinB,0
tmInjBackTimeMinB,0
tmEjectTimeMinB,0
tmInjMaxPressMinB,0
tmChargeMaxPressMinB,0
tmInjTimeMin,0
tmTurnTimeMin,0
tmChargeTimeMin,0
tmClpClsTimeMin,0
tmClpOpnPosiMin,346.4
tmClpOpnTimeMin,0
tmTurnPressMin,0
tmInjStartPosiMin,56.2
tmTurnPosiMin,0
tmInjEndPosiMin,0
tmInjBackTimeMin,0
tmEjectTimeMin,0
tmInjMaxPressMin,0
tmChargeMaxPressMin,0
tmClpOpnPosiMaxB,0
tmClpOpnTimeMinB,0
tmClpOpnPosiMinB,0
