Name,Value
tmCycleTime,0
tmChargeMaxPress,0
tmChargeMaxPressB,0
tmChargeTime,0
tmInjTime,0
tmTurnTime,0
tmClpClsTime,0
tmClpOpnPosi,0
tmClpOpnTime,0
tmTurnPress,0
tmInjStartPosi,0
tmTurnPosi,0
tmInjEndPosi,0
tmInjMoni,0
tmInjBackTime,0
tmEjectTime,0
tmInjMaxPress,0
tmFetchTime,0
tmInjTimeB,0
tmTurnTimeB,0
tmChargeTimeB,0
tmTurnPressB,0
tmInjStartPosiB,0
tmTurnPosiB,0
tmInjEndPosiB,0
tmInjBackTimeB,0
tmEjectTimeB,0
tmInjMaxPressB,0
tmbcBarCode1,
tmbcBarCode2,
tmbcMaterialSpec,
tmbcMaterialLotA,
tmbcMaterialLotB,
tmbcShiftNo,
tmbcOperator,0
tmbcVINo,0
tmbcCoolTime,0
tmPowerConsumptionPerModule,0
